DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [01-Apr-2022]	[4:45] BTC $45751.51
StonksBot#2363 [01-Apr-2022]	[5:00] BTC $45765.31
StonksBot#2363 [01-Apr-2022]	[5:15] BTC $45730.34
StonksBot#2363 [01-Apr-2022]	[5:30] BTC $45803.89
StonksBot#2363 [01-Apr-2022]	[5:45] BTC $45694.54
StonksBot#2363 [01-Apr-2022]	[6:00] BTC $45786.44
StonksBot#2363 [01-Apr-2022]	[6:15] BTC $45649.94
StonksBot#2363 [01-Apr-2022]	[6:30] BTC $45679.99
StonksBot#2363 [01-Apr-2022]	[6:45] BTC $45336.54
StonksBot#2363 [01-Apr-2022]	[7:00] BTC $45547.77
StonksBot#2363 [01-Apr-2022]	[7:15] BTC $45624.72
StonksBot#2363 [01-Apr-2022]	[7:30] BTC $45602.45
StonksBot#2363 [01-Apr-2022]	[7:45] BTC $45603.69
StonksBot#2363 [01-Apr-2022]	[8:00] BTC $45533.61
StonksBot#2363 [01-Apr-2022]	[8:15] BTC $45341.93
StonksBot#2363 [01-Apr-2022]	[8:30] BTC $45153.26
StonksBot#2363 [01-Apr-2022]	[8:45] BTC $45171.46
StonksBot#2363 [01-Apr-2022]	[9:00] BTC $44917.41
StonksBot#2363 [01-Apr-2022]	[9:15] BTC $44989.24
StonksBot#2363 [01-Apr-2022]	[9:30] BTC $44620.73
StonksBot#2363 [01-Apr-2022]	[9:45] BTC $44692.05
StonksBot#2363 [01-Apr-2022]	[10:00] BTC $44392.70
StonksBot#2363 [01-Apr-2022]	[10:15] BTC $44375.00
StonksBot#2363 [01-Apr-2022]	[10:30] BTC $44452.09
StonksBot#2363 [01-Apr-2022]	[10:45] BTC $44511.52
StonksBot#2363 [01-Apr-2022]	[11:00] BTC $44575.28
StonksBot#2363 [01-Apr-2022]	[11:15] BTC $44641.89
StonksBot#2363 [01-Apr-2022]	[11:30] BTC $44669.78
StonksBot#2363 [01-Apr-2022]	[11:45] BTC $44749.12
StonksBot#2363 [01-Apr-2022]	[12:00] BTC $44645.27
StonksBot#2363 [01-Apr-2022]	[12:15] BTC $44722.24
StonksBot#2363 [01-Apr-2022]	[12:30] BTC $44720.36
