DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [02-Apr-2022]	[22:00] ETH $3490.12
StonksBot#2363 [02-Apr-2022]	[22:15] ETH $3463.44
StonksBot#2363 [02-Apr-2022]	[22:30] ETH $3477.26
StonksBot#2363 [02-Apr-2022]	[22:45] ETH $3461.35
StonksBot#2363 [02-Apr-2022]	[23:00] ETH $3460.75
StonksBot#2363 [02-Apr-2022]	[23:15] ETH $3473.07
StonksBot#2363 [02-Apr-2022]	[23:30] ETH $3473.53
StonksBot#2363 [02-Apr-2022]	[23:45] ETH $3486.35
StonksBot#2363 [03-Apr-2022]	[0:00] ETH $3478.65
StonksBot#2363 [03-Apr-2022]	[0:15] ETH $3479.59
StonksBot#2363 [03-Apr-2022]	[0:30] ETH $3485.59
StonksBot#2363 [03-Apr-2022]	[0:45] ETH $3482.71
StonksBot#2363 [03-Apr-2022]	[1:00] ETH $3477.50
StonksBot#2363 [03-Apr-2022]	[1:15] ETH $3447.61
StonksBot#2363 [03-Apr-2022]	[1:30] ETH $3465.30
StonksBot#2363 [03-Apr-2022]	[1:45] ETH $3465.78
StonksBot#2363 [03-Apr-2022]	[2:00] ETH $3449.20
StonksBot#2363 [03-Apr-2022]	[2:15] ETH $3463.41
StonksBot#2363 [03-Apr-2022]	[2:30] ETH $3473.39
StonksBot#2363 [03-Apr-2022]	[2:45] ETH $3479.44
StonksBot#2363 [03-Apr-2022]	[3:00] ETH $3470.06
StonksBot#2363 [03-Apr-2022]	[3:15] ETH $3477.75
StonksBot#2363 [03-Apr-2022]	[3:30] ETH $3475.50
StonksBot#2363 [03-Apr-2022]	[3:45] ETH $3472.16
StonksBot#2363 [03-Apr-2022]	[4:00] ETH $3471.48
StonksBot#2363 [03-Apr-2022]	[4:15] ETH $3463.89
StonksBot#2363 [03-Apr-2022]	[4:30] ETH $3456.35
StonksBot#2363 [03-Apr-2022]	[4:45] ETH $3473.71
StonksBot#2363 [03-Apr-2022]	[5:00] ETH $3480.62
StonksBot#2363 [03-Apr-2022]	[5:15] ETH $3480.39
