DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [02-Apr-2022]	[15:30] BNB $448.40
StonksBot#2363 [02-Apr-2022]	[15:45] BNB $448.90
StonksBot#2363 [02-Apr-2022]	[16:00] BNB $449.30
StonksBot#2363 [02-Apr-2022]	[16:15] BNB $449.00
StonksBot#2363 [02-Apr-2022]	[16:30] BNB $448.60
StonksBot#2363 [02-Apr-2022]	[16:45] BNB $449.10
StonksBot#2363 [02-Apr-2022]	[17:00] BNB $450.00
StonksBot#2363 [02-Apr-2022]	[17:15] BNB $449.00
StonksBot#2363 [02-Apr-2022]	[17:30] BNB $448.20
StonksBot#2363 [02-Apr-2022]	[17:45] BNB $449.10
StonksBot#2363 [02-Apr-2022]	[18:00] BNB $450.50
StonksBot#2363 [02-Apr-2022]	[18:15] BNB $449.40
StonksBot#2363 [02-Apr-2022]	[18:30] BNB $449.00
StonksBot#2363 [02-Apr-2022]	[18:45] BNB $449.30
StonksBot#2363 [02-Apr-2022]	[19:00] BNB $448.30
StonksBot#2363 [02-Apr-2022]	[19:15] BNB $447.70
StonksBot#2363 [02-Apr-2022]	[19:30] BNB $449.20
StonksBot#2363 [02-Apr-2022]	[19:45] BNB $450.10
StonksBot#2363 [02-Apr-2022]	[20:00] BNB $448.60
StonksBot#2363 [02-Apr-2022]	[20:15] BNB $450.50
StonksBot#2363 [02-Apr-2022]	[20:30] BNB $450.50
StonksBot#2363 [02-Apr-2022]	[20:45] BNB $450.40
StonksBot#2363 [02-Apr-2022]	[21:00] BNB $448.50
StonksBot#2363 [02-Apr-2022]	[21:15] BNB $447.20
StonksBot#2363 [02-Apr-2022]	[21:30] BNB $448.50
StonksBot#2363 [02-Apr-2022]	[21:45] BNB $447.20
StonksBot#2363 [02-Apr-2022]	[22:00] BNB $447.10
StonksBot#2363 [02-Apr-2022]	[22:15] BNB $442.80
StonksBot#2363 [02-Apr-2022]	[22:30] BNB $444.90
StonksBot#2363 [02-Apr-2022]	[22:45] BNB $443.40
StonksBot#2363 [02-Apr-2022]	[23:00] BNB $442.10
StonksBot#2363 [02-Apr-2022]	[23:15] BNB $444.20
StonksBot#2363 [02-Apr-2022]	[23:30] BNB $443.60
StonksBot#2363 [02-Apr-2022]	[23:45] BNB $444.70
StonksBot#2363 [03-Apr-2022]	[0:00] BNB $444.80
StonksBot#2363 [03-Apr-2022]	[0:15] BNB $445.10
StonksBot#2363 [03-Apr-2022]	[0:30] BNB $445.30
StonksBot#2363 [03-Apr-2022]	[0:45] BNB $445.30
StonksBot#2363 [03-Apr-2022]	[1:00] BNB $445.10
StonksBot#2363 [03-Apr-2022]	[1:15] BNB $440.00
StonksBot#2363 [03-Apr-2022]	[1:30] BNB $441.20
StonksBot#2363 [03-Apr-2022]	[1:45] BNB $440.90
StonksBot#2363 [03-Apr-2022]	[2:00] BNB $439.30
StonksBot#2363 [03-Apr-2022]	[2:15] BNB $441.90
StonksBot#2363 [03-Apr-2022]	[2:30] BNB $443.00
StonksBot#2363 [03-Apr-2022]	[2:45] BNB $443.60
StonksBot#2363 [03-Apr-2022]	[3:00] BNB $442.70
StonksBot#2363 [03-Apr-2022]	[3:15] BNB $443.10
StonksBot#2363 [03-Apr-2022]	[3:30] BNB $443.20
StonksBot#2363 [03-Apr-2022]	[3:45] BNB $442.90
StonksBot#2363 [03-Apr-2022]	[4:00] BNB $442.40
StonksBot#2363 [03-Apr-2022]	[4:15] BNB $441.00
StonksBot#2363 [03-Apr-2022]	[4:30] BNB $440.10
StonksBot#2363 [03-Apr-2022]	[4:45] BNB $442.20
StonksBot#2363 [03-Apr-2022]	[5:00] BNB $442.30
StonksBot#2363 [03-Apr-2022]	[5:15] BNB $441.80
StonksBot#2363 [03-Apr-2022]	[5:30] BNB $441.00
StonksBot#2363 [03-Apr-2022]	[5:45] BNB $441.10
StonksBot#2363 [03-Apr-2022]	[6:00] BNB $441.30
StonksBot#2363 [03-Apr-2022]	[6:15] BNB $439.00
StonksBot#2363 [03-Apr-2022]	[6:30] BNB $438.70
StonksBot#2363 [03-Apr-2022]	[6:45] BNB $437.30
StonksBot#2363 [03-Apr-2022]	[7:00] BNB $437.40
StonksBot#2363 [03-Apr-2022]	[7:15] BNB $438.10
StonksBot#2363 [03-Apr-2022]	[7:30] BNB $438.00
StonksBot#2363 [03-Apr-2022]	[7:45] BNB $439.80
StonksBot#2363 [03-Apr-2022]	[8:00] BNB $439.80
StonksBot#2363 [03-Apr-2022]	[8:15] BNB $436.50
